City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Tasiilaq,GL,2022-12-11 17:33:59,65.6145,-37.6368,26.76,57,3,5.91
136,Itarema,BR,2022-12-11 17:33:59,-2.9248,-39.9167,85.62,62,12,18.12
137,Nuuk,GL,2022-12-11 17:33:59,64.1835,-51.7216,25.41,54,0,9.22
138,Pacific Grove,US,2022-12-11 17:35:00,36.6177,-121.9166,48.51,82,40,13.0
139,Lebu,CL,2022-12-11 17:35:00,-37.6167,-73.65,63.52,67,0,18.14
140,Torbay,CA,2022-12-11 17:30:24,47.6666,-52.7314,32.76,94,100,13.8
141,Paamiut,GL,2022-12-11 17:35:00,61.994,-49.6678,19.4,65,0,8.25
142,Port Macquarie,AU,2022-12-11 17:35:01,-31.4333,152.9167,63.9,94,44,9.69
143,Flinders,AU,2022-12-11 17:35:01,-34.5833,150.8552,71.38,76,97,5.99
144,Harper,LR,2022-12-11 17:35:01,4.375,-7.7169,79.79,79,80,6.67
145,Tual,ID,2022-12-11 17:35:02,-5.6667,132.75,83.12,72,100,9.4
146,Cherskiy,RU,2022-12-11 17:35:02,68.75,161.3,-31.95,95,100,4.56
147,Saldanha,ZA,2022-12-11 17:35:02,-33.0117,17.9442,68.05,86,95,10.33
148,Lakhimpur,IN,2022-12-11 17:35:03,27.95,80.7667,63.05,38,7,7.58
149,Phalaborwa,ZA,2022-12-11 17:35:03,-23.943,31.1411,83.48,57,51,10.27
150,Komsomolsk-Na-Amure,RU,2022-12-11 17:35:03,50.552,137.0152,-5.53,100,87,5.26
151,Alindao,CF,2022-12-11 17:35:04,5.0267,21.2088,84.72,32,54,0.74
152,Wanning,CN,2022-12-11 17:35:04,18.8003,110.3967,61.47,79,86,8.55
153,Agadir,MA,2022-12-11 17:35:04,30.4202,-9.5982,73.85,70,67,6.04
154,Terra Roxa,BR,2022-12-11 17:35:05,-23.8557,-50.0314,81.75,69,78,4.68
155,Dali,CN,2022-12-11 17:35:05,25.7,100.1833,43.27,58,0,3.58
156,Grindavik,IS,2022-12-11 17:35:06,63.8424,-22.4338,34.27,75,0,3.44
157,Acapulco,MX,2022-12-11 17:35:06,16.8634,-99.8901,84.02,61,0,0.0
158,Mayo,US,2022-12-11 17:35:06,38.8876,-76.5119,46.4,88,100,1.01
159,Kichera,RU,2022-12-11 17:35:07,55.9375,110.0997,-8.12,84,98,7.07
160,Ambilobe,MG,2022-12-11 17:35:07,-13.2,49.05,76.23,82,64,4.81
161,Sao Filipe,CV,2022-12-11 17:35:07,14.8961,-24.4956,78.98,71,0,10.02
162,West Bay,KY,2022-12-11 17:35:08,19.3667,-81.4167,84.0,72,20,13.8
163,San Quintin,MX,2022-12-11 17:35:08,30.4833,-115.95,61.14,62,59,3.15
164,Ponta Do Sol,PT,2022-12-11 17:35:08,32.6667,-17.1,74.71,83,38,5.57
165,Pangnirtung,CA,2022-12-11 17:35:09,66.1451,-65.7125,12.2,79,75,0.0
166,Cidreira,BR,2022-12-11 17:35:09,-30.1811,-50.2056,77.32,77,67,11.43
167,Ilulissat,GL,2022-12-11 17:31:45,69.2167,-51.1,15.82,62,40,3.44
168,East London,ZA,2022-12-11 17:35:09,-33.0153,27.9116,72.54,88,0,10.36
169,Najran,SA,2022-12-11 17:35:10,17.4924,44.1277,61.45,52,6,2.8
170,Komsomolskiy,UZ,2022-12-11 17:35:10,40.4272,71.7189,29.12,86,75,2.3
171,Namatanai,PG,2022-12-11 17:35:10,-3.6667,152.4333,78.64,82,96,5.03
172,Thompson,CA,2022-12-11 17:35:11,55.7435,-97.8558,23.16,93,100,3.44
173,Warrington,GB,2022-12-11 17:35:11,53.3925,-2.5802,35.62,90,20,3.44
